cert,institution_name,lei,match_quality,is_subject_bank
11726,Pioneer State Bank,,no_lei_for_rssd,False
11729,CIBM Bank,549300RIPPSJXAQKZ383,exact_rssd,False
11731,Fairview State Banking Company,,no_lei_for_rssd,False
11732,Bank of Farmington,,no_lei_for_rssd,False
11734,Flanagan State Bank,2549008LUH7QKMXQ8N53,exact_rssd,False
11739,BankOrion,2138009TTY1M4OJRXV14,exact_rssd,False
11741,Solutions Bank,,no_lei_for_rssd,False
11746,Iroquois Farmers State Bank,,no_lei_for_rssd,False
11747,The Farmers State Bank and Trust Company,,no_lei_for_rssd,False
11750,Bank of Kampsville,254900PJUWNEQ2VZTG49,exact_rssd,False
12086,Sainte Marie State Bank,,no_lei_for_rssd,False
12087,Spring Valley City Bank,,no_lei_for_rssd,False
12098,The First State Bank of Dongola,,no_lei_for_rssd,False
12107,Farmers State Bank,,no_lei_for_rssd,False
12113,Germantown Trust & Savings Bank,2549005HG8EMM4748S60,exact_rssd,False
12121,Buckley State Bank,,no_lei_for_rssd,False
12229,First Bank,549300DT7WZ1SOTNFJ62,exact_rssd,False
12322,Chippewa Valley Bank,549300MPDN3KQZW68M43,exact_rssd,False
12325,Bank of Cashton,,no_lei_for_rssd,False
12327,Bank of Mauston,,no_lei_for_rssd,False
12331,State Bank of Chilton,TSQQR4KZYLBZ0MLQ5D71,exact_rssd,False
12349,Community Bank of Cameron,,no_lei_for_rssd,False
12354,Hustisford State Bank,,no_lei_for_rssd,False
12355,Farmers and Merchants Bank of Kendall,,no_lei_for_rssd,False
12365,The First National Bank of Allendale,,no_lei_for_rssd,False
12368,Regions Bank,EQTWLK1G7ODGC2MGLV11,exact_rssd,False
12383,Carrollton Bank,549300CP7747DCRW6U68,exact_rssd,False
12384,Jersey State Bank,254900BLPLW0LXHKFX20,exact_rssd,False
12386,State Bank of Toulon,5493005OG185XV8M8N52,exact_rssd,False
12388,Williamsville State Bank & Trust,5493003K5GJU8VB60Z66,exact_rssd,False
12391,State Bank of Saunemin,,no_lei_for_rssd,False
12395,Lena State Bank,,no_lei_for_rssd,False
12396,State Bank of Lincoln,,no_lei_for_rssd,False
12402,Exchange State Bank,,no_lei_for_rssd,False
12406,Glenview State Bank,,no_lei_for_rssd,False
12410,La Salle State Bank,,no_lei_for_rssd,False
12511,Alliance Bank,,no_lei_for_rssd,False
12512,Community First Bank,,no_lei_for_rssd,False
12513,Partners Bank of Wisconsin,5493007D2VPXSKV4K019,exact_rssd,False
12514,Ixonia Bank,549300T9P3WXNMXX0I34,exact_rssd,False
12517,Bank Five Nine,254900DTLB5WWMBJAD86,exact_rssd,False
12549,Bank of Calhoun County,5493007BMZRJFTKKNV74,exact_rssd,False
12633,The Central Trust Bank,549300UF3FPC7U6RFC59,exact_rssd,False
12661,GreenLeaf Bank,5493009WLD1EC45QKX71,exact_rssd,False
12706,State Bank,254900CHU7PX7ZS6RI74,exact_rssd,False
12781,Hometown Bank,,no_lei_for_rssd,False
12788,Baraboo State Bank,54930065PWY9N8KCRQ96,exact_rssd,False
12814,Peoples State Bank,,no_lei_for_rssd,False
12815,"Home State Bank, National Association",549300AUFLERO59VGC71,exact_rssd,False
12839,First Farmers Bank & Trust Co.,549300TWHZRVTZ8RYT46,exact_rssd,False
12923,"Bremer Bank, National Association",54930082GM1TWV6QVI24,exact_rssd,False
13023,Wisconsin Bank & Trust,,no_lei_for_rssd,False
13025,Farmers Savings Bank,549300DDJMNOWGXL6236,exact_rssd,False
13029,Mitchell Bank,,no_lei_for_rssd,False
13030,Oakwood Bank,,no_lei_for_rssd,False
13032,Citizens First Bank,,no_lei_for_rssd,False
13033,The Farmers State Bank of Waupaca,,no_lei_for_rssd,False
13046,Farmers & Merchants Bank,,no_lei_for_rssd,False
13054,"Park Bank, National Association",254900SL0H3ZRSDNV180,exact_rssd,False
13055,Citizens Bank,5493002FSR6V2NM1K863,exact_rssd,False
13058,Hiawatha National Bank,549300K3JILC7UMYWR39,exact_rssd,False
13080,Algonquin State Bank,,no_lei_for_rssd,False
13240,Denmark State Bank,,no_lei_for_rssd,False
13242,Farmers & Merchants State Bank,5493006S21NZTF9Y1L04,exact_rssd,False
13264,Bank of Luxemburg,5493005JOVFFHEU5TF17,exact_rssd,False
13380,Community Trust Bank,,no_lei_for_rssd,False
13454,Royal Bank,549300YKMWXBZEEA1471,exact_rssd,False
13565,Bank of Sun Prairie,6354007NTMKKVRFIIP73,exact_rssd,False
13580,Union Bank of Blair,,no_lei_for_rssd,False
13582,State Bank of Nauvoo,,no_lei_for_rssd,False
13813,First National Bank in Pinckneyville,,no_lei_for_rssd,False
13902,Farmers State Bank of Medora,,no_lei_for_rssd,False
13983,The Granville National Bank,,no_lei_for_rssd,False
1399,Frandsen Bank & Trust,549300ZZZUYWXK72JD21,exact_rssd,False
14078,Blackhawk  Bank,,no_lei_for_rssd,False
14222,Security Financial Bank,5493002T397LUNQ31179,exact_rssd,False
14266,National Bank of Commerce,549300YSSK1TDPTWQ036,exact_rssd,False
14316,The Benton State Bank,,no_lei_for_rssd,False
14382,Fidelity Bank & Trust,549300P8W7NTNS3TVK84,exact_rssd,False
14400,First National Bank in Tigerton,,no_lei_for_rssd,False
14445,Farmers and Merchants Union Bank,549300YHR41F57LS0R28,exact_rssd,False
14468,First National Bank at Darlington,,no_lei_for_rssd,False
14492,HomeBank,549300DFV63SJPNIII97,exact_rssd,False
14560,Union State Bank,54930000ZYOSM7IG6Q56,exact_rssd,False
14567,First National Bank in Olney,,no_lei_for_rssd,False
14660,Bank of Prairie du Sac,,no_lei_for_rssd,False
14662,TrustBank,549300JMCI45DZ4YNK98,exact_rssd,False
14674,The First National Bank in Amboy,,no_lei_for_rssd,False
14761,1NB Bank,54930000REMJYLBAS614,exact_rssd,False
14769,DMB Community Bank,549300LC0BP2X1F6BE13,exact_rssd,False
14816,Mbank,,no_lei_for_rssd,False
14843,MidWestOne Bank,549300LZLYU85WF65870,exact_rssd,False
14857,State Street Bank and Trust Company,,no_lei_for_rssd,False
14907,The International Bank of Amherst,,no_lei_for_rssd,False
14911,Shell Lake State Bank,,no_lei_for_rssd,False
14914,Collins State Bank,254900Z9CBWZF8ECUS45,exact_rssd,False
14924,The First National Bank in Staunton,,no_lei_for_rssd,False
14960,State Bank of Reeseville,,no_lei_for_rssd,False
14994,State Bank of Arcadia,,no_lei_for_rssd,False
14995,River Bank,5493008FT4WVSLWPKG77,exact_rssd,False
15046,The Peoples Community Bank,549300HWFLUA8V78OT27,exact_rssd,False
15091,Lake Ridge Bank,549300DZ25WXQZZ57J48,exact_rssd,False
15092,Richland County Bank,,no_lei_for_rssd,False
15121,Jackson County Bank,,no_lei_for_rssd,False
15126,Farmers State Bank,,no_lei_for_rssd,False
1513,Citizens State Bank of La Crosse,5493008L7BNNEPSS6V79,exact_rssd,False
15136,Bank of Wisconsin Dells,549300SK86EFHGUY2C52,exact_rssd,False
15146,Great North Bank,,no_lei_for_rssd,False
15152,Black River Country Bank,,no_lei_for_rssd,False
15158,Timberwood Bank,,no_lei_for_rssd,False
1517,Markesan State Bank,,no_lei_for_rssd,False
15173,"Farmers & Merchants Bank, of Orfordville",,no_lei_for_rssd,False
15186,State Bank,,no_lei_for_rssd,False
15228,The Bank of Kaukauna,549300VGTHKRGXF7GQ17,exact_rssd,False
15229,First Business Bank,549300F247N2IU8SC024,exact_rssd,False
15242,Northern State Bank,254900X5QCTPBYKG4S42,exact_rssd,False
15271,First State Bank,,no_lei_for_rssd,False
15423,American Bank of Freedom,549300YMEOE50UQ6NM87,exact_rssd,False
1552,CBI Bank & Trust,5493003X0GM1DHJIWC22,exact_rssd,False
15565,First Southern Bank,,no_lei_for_rssd,False
15752,First State Bank,549300CQG2T7TCGY8Q67,exact_rssd,False
15760,Citizens National Bank of Albion,,no_lei_for_rssd,False
15763,FIRST NATIONAL BANK OF NOKOMIS,,no_lei_for_rssd,False
15779,The Farmers & Merchants Bank,,no_lei_for_rssd,False
15799,Premier Community Bank,549300WD04PCWCETKZ02,exact_rssd,False
15873,Milledgeville State Bank,,no_lei_for_rssd,False
15913,First Community Bank and Trust,,no_lei_for_rssd,False
15928,Farmers National Bank of Griggsville,,no_lei_for_rssd,False
15945,Forest Park National Bank and Trust Company,213800GF3VF8WSF5Q651,exact_rssd,False
16160,Waukesha State Bank,5493003H8ECZKN77IZ88,exact_rssd,False
16198,Mason City National Bank,,no_lei_for_rssd,False
16249,Devon Bank,549300UV5JQXLGVWIP44,exact_rssd,False
16250,Marquette Bank,549300QX0QWWJKEY4R28,exact_rssd,False
16276,"Bank of Hillsboro, National Association",549300KTBKVRBY302A16,exact_rssd,False
16318,Marseilles Bank,,no_lei_for_rssd,False
16332,First State Bank and Trust,254900N4XMPM37K77D58,exact_rssd,False
16344,The State Bank of Pearl City,,no_lei_for_rssd,False
16375,HomeStar Bank and Financial Services,,no_lei_for_rssd,False
16394,Table Grove State Bank,,no_lei_for_rssd,False
16413,Bank of Stronghurst,,no_lei_for_rssd,False
1643,Providence Bank,,no_lei_for_rssd,False
16450,Busey Bank,549300O7SGM8FH65GQ47,exact_rssd,False
16479,Longview Bank and Trust,,no_lei_for_rssd,False
16483,The Poplar Grove State Bank,,no_lei_for_rssd,False
16501,"First Bankers Trust Company, National Association",2549003SD8SH7JXN6S72,exact_rssd,False
16571,BMO Bank National Association,3Y4U8VZURTYWI1W2K376,exact_rssd,False
16585,Vermont State Bank,,no_lei_for_rssd,False
16666,Itasca Bank & Trust Co.,254900UISKR0QR32CI62,exact_rssd,False
16667,Washington State Bank,,no_lei_for_rssd,False
16752,National Bank of St. Anne,5493005ITNB06W8ZHD39,exact_rssd,False
16840,River Falls State Bank,549300RP0N2VARTRFQ77,exact_rssd,False
16900,Princeville State Bank,,no_lei_for_rssd,False
16982,Bank of Pontiac,,no_lei_for_rssd,False
17128,Intercity State Bank,5493002JV15GSVFKZW34,exact_rssd,False
17162,Dairy State Bank,2549006KT1XNB09W2M78,exact_rssd,False
17208,TSB Bank,,no_lei_for_rssd,False
17224,First Security Trust and Savings Bank,,no_lei_for_rssd,False
17230,Albany Bank and Trust Company National Association,25490001F0A9F7BV6B05,exact_rssd,False
17241,North Central Bank,,no_lei_for_rssd,False
17320,Peoples Bank & Trust,,no_lei_for_rssd,False
17401,Wenona State Bank,,no_lei_for_rssd,False
17453,Apple River State Bank,,no_lei_for_rssd,False
17470,First Bank Chicago,5493005SBCJ71Z4XVY11,exact_rssd,False
17513,The Fisher National Bank,5493004LTLRA7Y5L3696,exact_rssd,False
17514,Banterra Bank,549300NGCDNC9174EF79,exact_rssd,False
17572,First National Bank in Taylorville,,no_lei_for_rssd,False
17690,South Porte Bank,,no_lei_for_rssd,False
17713,Durand State Bank,,no_lei_for_rssd,False
17736,The Hometown Savings Bank,549300G2EZKPVQQ0D852,exact_rssd,False
1781,First State Bank Shannon-Polo,,no_lei_for_rssd,False
1786,Longview Bank,549300POCKENHFN8BN88,exact_rssd,False
1787,Rochester State Bank,,no_lei_for_rssd,False
1808,Better Banks,254900UAJ26M2YIF0822,exact_rssd,False
18171,Bank of O'Fallon,549300ZJ52ZRS3Q0S589,exact_rssd,False
18361,Coulee Bank,5493002B2O407LCTBX72,exact_rssd,False
18402,Blackhawk Bank & Trust,5493002L7I6EYKW3NG91,exact_rssd,False
18429,Morton Community Bank,549300SNZET0P5BZ3J56,exact_rssd,False
18487,Town and Country Bank,,no_lei_for_rssd,False
18503,Cathay Bank,FT6J43S06X6CLJ0R0B48,exact_rssd,False
18509,West Suburban Bank,,no_lei_for_rssd,False
18564,First National Bank of Brookfield,254900TO7P4MVLV70225,exact_rssd,False
18566,Peoples Bank of Kankakee County,549300WXIUJ8ZTV7X921,exact_rssd,False
18568,Community Bank of Easton,,no_lei_for_rssd,False
18569,Peoples State Bank,549300RBWA4J4QTPSY69,exact_rssd,False
18641,First Bank and Trust Company of Illinois,,no_lei_for_rssd,False
18855,Colchester State Bank,,no_lei_for_rssd,False
18889,Community Bank of Trenton,,no_lei_for_rssd,False
18922,Tri City National Bank,549300OCKUW7YV0YNV03,exact_rssd,False
19008,Parkway Bank and Trust Company,,no_lei_for_rssd,False
19105,Peoples Bank of Macon,,no_lei_for_rssd,False
19230,Community National Bank in Monmouth,,no_lei_for_rssd,False
19333,Republic Bank of Chicago,5493002Q5MB21VG7B390,exact_rssd,False
19459,United Community Bank,5493000XYE7QL54NMB52,exact_rssd,False
19506,Bank of Springfield,549300XAJENHWRM32Z86,exact_rssd,False
19512,Royal Banks of Missouri,,no_lei_for_rssd,False
19536,"South Central Bank, National Association",,no_lei_for_rssd,False
19573,Lakeside Bank,549300DUTN4RUBI81Z18,exact_rssd,False
19608,The Park Bank,YQI2CPR3Z44KAR0HG822,exact_rssd,False
19628,Midwest Community Bank,,no_lei_for_rssd,False
19689,State Bank of Whittington,,no_lei_for_rssd,False
19693,Texico State Bank,,no_lei_for_rssd,False
19772,IncredibleBank,549300TV5ZED3EINI708,exact_rssd,False
19795,AbbyBank,549300ZAI389CEN8VG51,exact_rssd,False
19796,Midland Community Bank,,no_lei_for_rssd,False
19842,Bank Leumi Usa,,no_lei_for_rssd,False
20040,Merchants and Manufacturers Bank,,no_lei_for_rssd,False
20081,The First National Bank of McHenry,,no_lei_for_rssd,False
20250,Marine Bank,,no_lei_for_rssd,False
20296,Johnson Bank,IWRZQFYIRJ0IMURZBB68,exact_rssd,False
20369,Heartland Bank and Trust Company,EFBDHEMMHTWI378O4988,exact_rssd,False
20454,Citizens Bank of Edinburg,,no_lei_for_rssd,False
20624,Byline Bank,54930011HPXXLJN2D407,exact_rssd,False
20666,Northwest Bank of Rockford,2138007DQF1WY8NDYM18,exact_rssd,False
20769,Bank of Montgomery,,no_lei_for_rssd,False
20856,Liberty Bank and Trust Company,549300OJTK0IPSNDA832,exact_rssd,False
21085,Bank of Ontario,,no_lei_for_rssd,False
21486,Crossroads Bank,,no_lei_for_rssd,False
21635,The Bank of Bourbonnais,,no_lei_for_rssd,False
21721,Heritage Bank of Schaumburg,,no_lei_for_rssd,False
21952,Countryside Bank,,no_lei_for_rssd,False
21988,Community State Bank of Rock Falls,,no_lei_for_rssd,False
22034,First State Bank of Bloomington,,no_lei_for_rssd,False
22282,First Nations Bank,,no_lei_for_rssd,False
22312,Columbia National Bank,,no_lei_for_rssd,False
22334,One Community Bank,549300CS1XP28EERR469,exact_rssd,False
22434,"BankChampaign, National Association",549300OVNJWJXYPGIU28,exact_rssd,False
22444,INLAND BANK & TRUST,,no_lei_for_rssd,False
22536,First Secure Bank and Trust Co.,,no_lei_for_rssd,False
22543,1st State Bank of Mason City,,no_lei_for_rssd,False
22598,Flora Bank & Trust,,no_lei_for_rssd,False
22811,Brickyard Bank,,no_lei_for_rssd,False
22826,"Mufg Union Bank, National Association",,no_lei_for_rssd,False
22838,Bank of Gibson City,549300JKZP45L168QC29,exact_rssd,False
22874,Hickory Point Bank and Trust,549300NN5CG5Q640OV05,exact_rssd,False
22971,First Secure State Bank,,no_lei_for_rssd,False
23137,Charter Bank,,no_lei_for_rssd,False
23220,Woodforest National Bank,,no_lei_for_rssd,False
23244,North Adams State Bank,,no_lei_for_rssd,False
23257,Community State Bank,254900MHEKUVX1BTCD10,exact_rssd,False
23472,"The Bank of New York Mellon Trust Company, National Association",,no_lei_for_rssd,False
23498,"TBK BANK, SSB",5493000B61DDZ2PG1515,exact_rssd,False
23537,Bankers' Bank,549300EES32R2VOEK894,exact_rssd,False
23546,Municipal Trust and Savings Bank,549300HC145ABINEFL26,exact_rssd,False
23647,TIB National Association,,no_lei_for_rssd,False
24170,Hanmi Bank,549300UIU6ZMTZ7XEW62,exact_rssd,False
2455,The Bank of Brodhead,549300200TL6RMY5ZN25,exact_rssd,False
2467,Citizens State Bank,254900JU2DYRJVDHMG47,exact_rssd,False
2468,Northwestern Bank,254900YAD0R5TBY92Y41,exact_rssd,False
2469,Badger Bank,5493003Q218ZJ8R1WN88,exact_rssd,False
2476,McFarland State Bank,,no_lei_for_rssd,False
2477,Bank of Deerfield,5493006ACVE4WEX8D790,exact_rssd,False
2482,Nekoosa Port Edwards State Bank,,no_lei_for_rssd,False
24998,Commerce Bank,7DMUJTL9FFTVIAG9H788,exact_rssd,False
25883,First Eagle  Bank,549300DYVAMYTMH9UV09,exact_rssd,False
25894,First National Bank,,no_lei_for_rssd,False
26218,Park Bank,,no_lei_for_rssd,False
26610,Bank of Hope,549300F570XAWYN8Z237,exact_rssd,False
26689,Bank of Alma,,no_lei_for_rssd,False
27052,"St. Charles Bank & Trust Company, National Association",549300UDBUNBNEKR8J69,exact_rssd,False
27053,Community Financial Bank,,no_lei_for_rssd,False
27074,State Bank of Texas,,no_lei_for_rssd,False
27362,Prairie State Bank and Trust,2549001E11O22GGBEL86,exact_rssd,False
27556,Burling Bank,,no_lei_for_rssd,False
27589,"Lake Forest Bank & Trust Company, National Association",5493004MWCDBCBTXE044,exact_rssd,False
27664,"Sterling Federal Bank, F.S.B.",,no_lei_for_rssd,False
27683,North Shore Trust and Savings,549300WIE2SKOKI8PF63,exact_rssd,False
27723,"Security Bank, s.b.",549300BGIT0LFI12Z304,exact_rssd,False
27767,Union Federal Savings and Loan Association,254900TY6UTJ321IPS13,exact_rssd,False
27909,BEST HOMETOWN BANK,,no_lei_for_rssd,False
27910,"Central Savings, f.s.b.",,no_lei_for_rssd,False
27989,OSB Community Bank,5493002OMAT2S3H4OF48,exact_rssd,False
28068,Royal Savings Bank,,no_lei_for_rssd,False
28103,Collinsville Building and Loan Association,549300QV6YJK6ZDZPV54,exact_rssd,False
28105,"First Robinson Savings Bank, National Association",,no_lei_for_rssd,False
28151,West Town Bank & Trust,,no_lei_for_rssd,False
28302,Mutual Federal Bank,5493007XXF5AWOEWTU94,exact_rssd,False
28330,TCF National Bank,,no_lei_for_rssd,False
28332,Southern Bank,549300YKBMBBIIMQJS94,exact_rssd,False
28384,Ben Franklin Bank of Illinois,,not_in_fdic,False
28400,Westbury Bank,5493002XHCZ94X8YST31,exact_rssd,False
28401,Eureka Savings Bank,,no_lei_for_rssd,False
28425,Central Federal Savings and Loan Association,21380054U5NKZKBQ4128,exact_rssd,False
28445,First Federal Savings Bank of Champaign Urbana,254900KX4PZDHAK8I871,exact_rssd,False
28480,Columbia Savings and Loan Association,,no_lei_for_rssd,False
28513,"WaterStone Bank, SSB",549300GDJSUYPH6UC416,exact_rssd,False
28530,Forward Bank,254900IER2H3R8YLBW04,exact_rssd,False
28611,Pulaski Savings Bank,,no_lei_for_rssd,False
28614,"The Equitable Bank, S.S.B.",549300N24HTC7KQ3LC70,exact_rssd,False
28679,North Shore Bank,254900PST6LLDPCKSN83,exact_rssd,False
28723,First Savings Bank,,no_lei_for_rssd,False
28747,Hoyne Savings Bank,549300B92DSVIKGP5T53,exact_rssd,False
28774,Loomis Federal Savings and Loan Association,,no_lei_for_rssd,False
28790,Superior Savings Bank,549300TSV5GUFPY3IT90,exact_rssd,False
28808,"BankFinancial, National Association",54930061HIZ1MCMEOR72,exact_rssd,False
28841,Community Savings Bank,254900XX2FPZR1Y4FO11,exact_rssd,False
28924,First Federal Savings Bank,5493003617RJR4JUYT66,exact_rssd,False
28925,Security Savings Bank,,no_lei_for_rssd,False
28983,Ladysmith Federal Savings and Loan Association,,no_lei_for_rssd,False
29009,Liberty Bank for Savings,5493000TY1MM1LLTM666,exact_rssd,False
29042,Home Federal Savings Bank,,no_lei_for_rssd,False
29120,"PyraMax Bank, FSB",549300A81K8K8KJR9759,exact_rssd,False
29121,Union Savings Bank,549300OEWY869SOVHF18,exact_rssd,False
29188,Fox Valley Savings Bank,254900VLNEK78XKF3M52,exact_rssd,False
29224,Heritage State Bank,,no_lei_for_rssd,False
29227,Washington Savings Bank,,no_lei_for_rssd,False
29293,"Cumberland Federal Bank, FSB",,no_lei_for_rssd,False
29294,Prevail Bank,254900OC13I9CJC7SD87,exact_rssd,False
29384,Peru Federal Savings Bank,,no_lei_for_rssd,False
29399,GN Bank,,no_lei_for_rssd,False
29449,North Side Federal Savings and Loan Association of Chicago,254900S293MIVH34PR45,exact_rssd,False
29523,Peoples Bank,549300Y7HCU10KIRLG30,exact_rssd,False
29532,Nokomis Savings Bank,,no_lei_for_rssd,False
29535,DeWitt Savings Bank,,no_lei_for_rssd,False
29566,"United Fidelity Bank, fsb",549300RV3BMT6ES6TO70,exact_rssd,False
29645,"First Federal Savings and Loan Association of Central Illinois, S.B.",,no_lei_for_rssd,False
29657,"Great Midwest Bank, S.S.B.",254900AG9OLNQOYN9650,exact_rssd,False
29675,Iroquois Federal Savings and Loan Association,54930084WKZ9NTQ0QS94,exact_rssd,False
29676,"Paper City Savings Bank, S.A.",,no_lei_for_rssd,False
29677,Nashville Savings Bank,,no_lei_for_rssd,False
29691,KeySavings Bank,,no_lei_for_rssd,False
29745,Marathon Bank,254900GG6WW4AAUFXJ50,exact_rssd,False
29800,Lisle Savings Bank,549300C1KJJH2Y73E274,exact_rssd,False
